ID,author,author_id,year,title,booktitle/journal+editor+publisher,pages,type,note_lang,note_theme,pdf_link,url,DOI,ISBN/eISBN,annotator,,,,,
82,"Ershova, Ksenia",ershova-k,2023,Licensed to license: Deficient probes in West Circassian nominalizations,"The 46th Conference of Generative Linguistics in the Old World, University of Vienna, Austria, 12-14 April.",,Доклад,адыгейский,морфосинтаксис,https://kershova.github.io/Ershova_GLOW46_handout.pdf,https://kershova.github.io/Ershova_GLOW46_handout.pdf,to_find,,Ирина Кочеткова,,,,,
83,"Ershova, Ksenia",ershova-k,2019,Finding configurationality in polysynthesis: Wh-agreement as a diagnostic for clause structure in West Circassian,"The Syntax & Semantics Circle, UC Berkeley, 20 September 2019",,Доклад,адыгейский,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
84,"Ershova, Ksenia",ershova-k,2019,Subjecthood and syntactic ergativity: Evidence from anaphors in West Circassian,"SMircle, Stanford University, 4 October 2019.",,Доклад,адыгейский,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
85,"Ershova, Ksenia",ershova-k,2022,Unexpected A-movement in West Circassian: Theoretical implications for syntactic ergativity,"The Princeton Symposium on Syntactic Theory, Princeton University, 1-2 April",,Доклад,адыгейский,"морфосинтаксис, семантика",to_find,to_find,to_find,,Ирина Кочеткова,,,,,
86,"Ershova, Ksenia",ershova-k,2022,Contextually determined islandhood and constraints on possessor extraction in West Circassian," NYU Brown Bag series, NYU, 25 March 2022",,Доклад,адыгейский,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
87,"Ershova, Ksenia",ershova-k,2022,Unexpected ergativity: Wh-agreeing possessors in West Circassian,"Department talk presented at Harvard University, 11 February 2022",,Доклад,адыгейский,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
88,"Ershova, Ksenia",ershova-k,2021,What a polysynthetic language can tell us about wh-movement and Phase Theory: Possessor extraction in West Circassian,"S-Circle, UC Santa Cruz, 4 June 2021.",,Доклад,адыгейский,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
89,"Ershova, Ksenia",ershova-k,2023,"The interaction between movement, licensing, and spell-out: What c-commands what in West Circassian nominalizations. ","UMass Syntax Workshop, University of Massachusetts, Amherst, 3 March 2023.",,Доклад,адыгейский,морфосинтаксис,https://kershova.github.io/Ershova_UMass_2023.pdf,https://kershova.github.io/Ershova_UMass_2023.pdf,to_find,,Ирина Кочеткова,,,,,
90,"Ершова, Ксения Алексеевна",ershova-k,2011,Именные сочинительные конструкции и групповое оформление в адыгейском языке,"ACTA LINGUISTICA PETROPOLITANA. Труды Института лингвистических исследований РАН. Отв. ред. Н.Н. Казинский. Т. VII. Отв. ред. Д. В. Герасимов СПб.: Изд-во ""Наука"", 2011",195-207,Статья,адыгейский,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
91,"Ершова, Ксения Алексеевна",ershova-k,2010,Союзные формы глагола в адыгейском языке: сочинение или подчинение?,"ACTA LINGUISTICA PETROPOLITANA. Труды Института лингвистических исследований РАН. Отв. ред. Н.Н. Казинский. Т. VI, Ч.3. Отв. ред. Д. В. Герасимов СПб.: Изд-во ""Наука"", 2010",58-63,Статья,адыгейский,"грамматическая семантика, морфосинтаксис",https://cyberleninka.ru/article/n/soyuznye-formy-glagola-v-adygeyskom-yazyke-sochinenie-ili-podchinenie,https://cyberleninka.ru/article/n/soyuznye-formy-glagola-v-adygeyskom-yazyke-sochinenie-ili-podchinenie,to_find,,Ирина Кочеткова,,,,,
92,"Moroz, George",moroz-g,2014,On Palatalization Typology. Postalveolar Palatalization and its Avoidance: Circassian,Palatalization Conference (Тромсё),,Доклад,адыгейский,фонетика/фонология,https://www.hse.ru/data/2015/09/07/1090352664/Moroz_Palatalization%20-%20копия.pdf,https://www.hse.ru/data/2015/09/07/1090352664/Moroz_Palatalization%20-%20копия.pdf,to_find,,Ирина Кочеткова,,,,,
93,"Мороз, Георгий Алексеевич",moroz-g,2015,Расстояние между адыгскими идиомами: лексикостатистика и регулярные соответствия,Четвёртая конференция-школа «Проблемы языка: взгляд молодых ученых» (Москва),,Доклад,"кабардинский, адыгейский","лексика, семантика, компьютерная лингвистика",https://www.hse.ru/data/2015/09/27/1073929684/15.09.26%20Tree%20vs%20wave.pdf,https://www.hse.ru/data/2015/09/27/1073929684/15.09.26%20Tree%20vs%20wave.pdf,to_find,,Ирина Кочеткова,,,,,
94,"Мороз, Георгий Алексеевич",moroz-g,2011,Замечания о морфологии числительных в адыгейском языке,"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. Вып. VI./ Отв. ред.: Д. П. Бак, В. В. Минаев. М.: РГГУ, 2011.",230–245,Глава книги,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/fts20ihrs3/116315865.pdf,https://publications.hse.ru/view/103626962,to_find,,Ирина Кочеткова,,,,,
95,"Мороз, Георгий Алексеевич",moroz-g,2012,Ударение в уляпском говоре кабардинского языка,"Проблемы языка: Сборник научных статей по материалам Первой конференции-школы «Проблемы языка: взгляд молодых ученых» (20-22 сентября 2012 г.). / Под общ. ред.: Е. М. Девяткина. М.: Институт языкознания РАН, 2012. ",190–204,Глава книги,кабардинский,фонетика/фонология,https://publications.hse.ru/pubs/share/folder/txi9yrqrre/112699958.pdf,https://publications.hse.ru/view/103627134,to_find,,Ирина Кочеткова,,,,,
96,"Мороз, Георгий Алексеевич",moroz-g,2012,Консонантная система уляпского говора в сопоставлении с аналогами других диалектов адыгских языков,"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. Вып. VII./ Науч. ред.: Д. П. Бак, В. В. Минаев. Под общ. ред.: Л. Г. Жукова, О. А. Казакевич, В. Л. Кляус, Н. А. Козлова, Ю. А. Ландер, А. Б. Мороз, Ю. В. Филиппов. М.: РГГУ, 2012.",193–200,Глава книги,"кабардинский, адыгейский, убыхский, абхазский, абазинский",фонетика/фонология,https://publications.hse.ru/pubs/share/folder/obuug0f8yu/112698683.pdf,https://publications.hse.ru/view/112698686,to_find,,Ирина Кочеткова,,,,,
97,"Мороз, Георгий Алексеевич",moroz-g,2012,"Адыгский, адыгейский, бесленеевский, уляпский: представления носителей уляпского говора о своем языке","«Народная лингвистика»: взгляд носителей языка на язык. Тезисы докладов международной научной конференции./ Отв. ред.: Е. Головко. СПб.: Издательство Нестор-История, 2012.",42–44,Глава книги,кабардинский,экстралингвистическое,https://publications.hse.ru/pubs/share/folder/0eo9e5g658/112699577.pdf,https://publications.hse.ru/view/103627209,to_find,,Ирина Кочеткова,,,,,
98,"Мороз, Георгий Алексеевич",moroz-g,2014,Структура составных числительных языков кавказа в типологической перспективе: сложение,Вестник Московского государственного гуманитарного университета им. М.А. Шолохова. Филологические науки. 2014. № 1.,85–100,Статья,кавказские,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/mfmi7uv3c9/126619155.pdf,https://publications.hse.ru/view/126619228,to_find,,Ирина Кочеткова,,,,,
99,"Мороз, Георгий Алексеевич",moroz-g,2014,Особенности систем числительных языков Кавказа,"Логический анализ языка: Числовой код в разных языках и культурах. / Отв. ред.: Н. Д. Арутюнова. Науч. ред.: Н. Д. Арутюнова, М. Л. Ковшова, С. Ю. Бочавер. Под общ. ред.: Н. Д. Арутюнова. М.: Издательская группа URSS, 2014.",171–182,Статья,кавказские,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/tby00n5dff/112699428.pdf,https://publications.hse.ru/view/103633762,to_find,,Ирина Кочеткова,,,,,
100,"Мороз, Георгий Алексеевич",moroz-g,2015,Адыгские идиомы в Турции: от первых описаний до собственной письменности,Вестник РГГУ. Серия «Филологические науки. Языкознание»/ Московский лингвистический журнал. 2015.,44–60,Статья,"кабардинский, адыгейский","семантика, экстралингвистическое",https://publications.hse.ru/pubs/share/folder/3umi55u7pm/168436184.pdf,https://publications.hse.ru/view/162503452,to_find,,Ирина Кочеткова,,,,,
101,"Мороз, Георгий Алексеевич",moroz-g,2017,Cкорости речи носителей кубанского диалекта кабардино-черкесского языка: устный дискурс vs. чтения текста,Томский журнал лингвистических и антропологических исследований. 2017. № 2,9–17,Статья,кабардинский,нейролингвистика,https://www.hse.ru/data/2021/04/08/1391837863/Cкорости%20речи%20носителей%20кубанского%20диале..стный%20дискурс%20vs.%20чтения%20текста.pdf,https://publications.hse.ru/view/209055020,to_find,,Ирина Кочеткова,,,,,
102,"Moroz, George and Martynova, Aleksandra","moroz-g, martynova-a",2017,Uvular consonants in Languages of the Caucasus,"Historical Linguistics of the Caucasus: Book of abstracts. Paris, 12-14 April, 2017 / Историческое изучение языков Кавказа. Тезисы докладов Международной научной конференции. Париж, 12-14 апреля 2017 г./ Ed. by T. Maisak. Махачкала: ИЯЛИ ДНЦ РАН, 2017. ",150–153,Тезисы,кавказские,фонетика/фонология,https://publications.hse.ru/pubs/share/direct/227027842.pdf,https://publications.hse.ru/view/210920085,to_find,,Ирина Кочеткова,,,,,
103,"Мороз, Георгий Алексеевич and Романова, Ксения Игоревна","moroz-g, romanova-k",2018,Искать' и 'найти' в абазинском языке,"ЕВРика! Сборник статей о поисках и находках к юбилею Е.В. Рахилиной. / Под общ. ред.: Д. А. Рыжова, Н. Р. Добрушина, А. А. Бонч-Осмоловская, А. С. Выренкова, М. В. Кюсева, Б. В. Орехов, Т. И. Резникова. М.: Лабиринт, 2018",100–104,Статья,абазинский,"лексика, семантика",https://publications.hse.ru/pubs/share/direct/218688147.pdf,https://publications.hse.ru/view/218688167,to_find,,Ирина Кочеткова,,,,,
104,"Мороз, Георгий Алексеевич",moroz-g,2019,Слоговая структура адыгейского языка,Вопросы языкознания. 2019. № 2,82–95,Статья,адыгейский,фонетика/фонология,https://www.hse.ru/data/2021/04/08/1391837867/%D0%A1%D0%BB%D0%BE%D0%B3%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%B0%20%D0%B0%D0%B4%D1%8B%D0%B3%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0_%D0%92%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D1%8F%D0%B7%D1%8B%D0%BA%D0%BE%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D1%8F.pdf,https://doi.org/10.31857/S0373658X0004303-2,10.31857/S0373658X0004303-2,,Ирина Кочеткова,,,,,
105,"Moroz, George and Mamonova, Tatyana","moroz-g, mamonova-t",2019,VOT features of consonants in Abaza,"NRU HSE. Series WP BRP ""Linguistics"". 2019. No. 91/LNG/2019",,Статья,абазинский,фонетика/фонология,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3504678_code1767127.pdf?abstractid=3504678&mirid=1,http://doi.org/10.2139/ssrn.3504678,10.2139/ssrn.3504678,,Ирина Кочеткова,,,,,
106,"Moroz, George and Arkhipov,  Alexandre and Daniel, Michael and Belyaev, Oleg and Esling, John","moroz-g, arkhipov-a, daniel-m, belyaev-o, esling-j",2019,A reinterpretation of lower-vocal-tract articulations in Caucasian languages,"Proceedings of the 19th International Congress of Phonetic Sciences, Melbourne, Australia 2019. Australasian Speech Science and Technology Association Inc., 2019",1550–1554,Статья,кавказские,фонетика/фонология,https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2019/papers/ICPhS_1599.pdf,https://publications.hse.ru/view/318354197,to_find,,Ирина Кочеткова,,,,,
107,"Мороз, Георгий Алексеевич",moroz-g,2021,Некоторые вопросы сегментной и супрасегментной фонологии и фонетики адыгских языков,,,Книга,"кабардинский, адыгейский, убыхский",фонетика/фонология,http://www.hse.ru/data/xf/883/585/1395/%D0%94%D0%B8%D1%81%D1%81%D0%B5%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F_%D0%9C%D0%BE%D1%80%D0%BE%D0%B7_%D0%B4%D0%BB%D1%8F%20%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf,https://www.hse.ru/sci/diss/448328073,to_find,,Ирина Кочеткова,,,,,
108,"Багирокова, Ирина Гаруновна",bagirokova-i,2016,Адыгские языки в современных исследованиях,Вестник Воронежского государственного университета. Серия: Лингвистика и межкультурная коммуникация. 2016. № 4,85–88,Статья,адыгейский,экстралингвистическое,https://publications.hse.ru/pubs/share/direct/207153786.pdf,https://publications.hse.ru/view/207153790,to_find,,Ирина Кочеткова,,,,,
109,"Багирокова, Ирина Гаруновна",bagirokova-i,2019,"Международная конференция ""Кавказские языки: типология и диахрония"" (Москва, ИЯз РАН, 23–24 октября 2019 г.)",Родной язык: лингвистический журнал. 2019. № 2. С,129–137,Статья,кавказские,экстралингвистическое,https://cyberleninka.ru/article/n/mezhdunarodnaya-konferentsiya-kavkazskie-yazyki-tipologiya-i-diahroniya-moskva-iyaz-ran-23-24-oktyabrya-2019-g,https://elibrary.ru/item.asp?id=42422609,to_find,,Ирина Кочеткова,,,,,
110,"Багирокова, Ирина Гаруновна and Рыжова, Дарья Александровна","bagirokova-i, ryzhova-d",2020,Метафоры глаголов падения в адыгейском языке,Известия РАН. Серия литературы и языка. 2020. Т. 79. № 5,69–86,Статья,адыгейский,"лексика, семантика",https://www.elibrary.ru/download/elibrary_44395398_66080758.pdf,http://doi.org/10.31857/S241377150012298-0,10.31857/S241377150012298-0,,Ирина Кочеткова,,,,,
111,"Багирокова, Ирина Гаруновна and Рыжова, Дарья Александровна","bagirokova-i, ryzhova-d",2020,Глаголы падения и особенности их аргументной структуры в адыгских языках,Acta Linguistica Petropolitana. Труды института лингвистических исследований. 2020. Т. 16. № 1,723–756,Статья,"кабардинский, адыгейский","лексика, морфосинтаксис, семантика",https://alp.iling.spb.ru/static/alp_XVI_1/22.pdf,http://doi.org/10.30842/alp2306573716122,10.30842/alp2306573716122,,Ирина Кочеткова,,,,,
112,"Багирокова, Ирина Гаруновна and Рыжова, Дарья Александровна","bagirokova-i, ryzhova-d",2022,Глаголы прятания и особенности их оформления локативными аффиксами в адыгейском языке,Вопросы языкознания. 2022. № 4.,95–114,Статья,адыгейский,"лексика, морфосинтаксис",https://publications.hse.ru/pubs/share/direct/716244784.pdf,https://doi.org/10.31857/0373-658X.2022.4.95-114,10.31857/0373-658X.2022.4.95-114,,Ирина Кочеткова,,,,,
113,"Zdorova, Nina and Bagirokova, Irina and Parshina, Olga and Ogly, Bela and Krasikova, Ekaterina and Ziubanova, Anastasiia and Unarokova, Shamset and Makerova, Susanna and Dragoy, Olga","zdorova-n, bagirokova-i, parshina-o, ogly-b, krasikova-e, ziubanova-a, unarokova-s, makerova-s, dragoy-o",2023,Eye movement corpora in Adyghe and Russian: an eye-tracking study of sentence reading in bilinguals,Frontiers in Psychology. 2023. Vol. 14. P. 1.,,Статья,адыгейский,"корпусная лингвистика, нейролингвистика",https://publications.hse.ru/pubs/share/direct/871787933.pdf,http://doi.org/10.3389/fpsyg.2023.1212701,10.3389/fpsyg.2023.1212701,1664-1078,Ирина Кочеткова,,,,,
114,"Рыжова, Дарья Александровна and Кюсева, Мария Викторовна","ryzhova-d, kyuseva-m",2015,Глаголы звуков животных в бжедугском диалекте адыгейского языка,"«Глаголы звуков животных: типология метафор»./ Отв. ред.: Т. И. Резникова, А.С. Выренкова, Б. В. Орехов, Д. А. Рыжова. Сост.: Е. В. Рахилина.М.: Языки славянских культур, 2015",235–246,Глава книги,адыгейский,лексика,to_find,https://publications.hse.ru/view/139374882,to_find,9.78594E+12,Ирина Кочеткова,,,,,
115,"Рыжова, Дарья Александровна and Кюсева, Мария Викторовна","ryzhova-d, kyuseva-m",2016,Особенности выражения локативных значений в кубанском диалекте кабардино-черкесского языка (на примере глаголов падения),Вестник Воронежского государственного университета. Серия: Лингвистика и межкультурная коммуникация. 2016. № 2,79–85,Статья,кабардинский,"лексика, семантика",https://publications.hse.ru/pubs/share/folder/b4l4hztucm/168138630.pdf,https://publications.hse.ru/view/168138750,to_find,,Ирина Кочеткова,,,,,
116,"Тестелец, Яков Георгиевич",testelets-y,2021,Ролевые языки Северного Кавказа: идея А.Е. Кибрика через 40 лет,Рема. Rhema. 2021. № 2,65–83,Статья,кавказские,"морфосинтаксис, экстралингвистическое",https://cyberleninka.ru/article/n/rolevye-yazyki-severnogo-kavkaza-ideya-a-e-kibrika-cherez-40-let/viewer,http://doi.org/10.31862/2500-2953-2021-2-65-83,10.31862/2500-2953-2021-2-65-83,,Ирина Кочеткова,,,,,
117,"Тестелец, Яков Георгиевич",testelets-y,2020,Ролевые языки Северного Кавказа: идея А.Е. Кибрика через 40 лет,"Звегинцевские чтения – 2020. К 60-летию кафедры и отделения теоретической и прикладной лингвистики и 110-летию со дня рождения В.А. Звегинцева. Материалы конференции (Москва, МГУ им. М.В. Ломоносова, 30–31 октября 2020 г.). М.: Изд-во МГУ. 2020",113–115,Тезисы,кавказские,"морфосинтаксис, экстралингвистическое",https://drive.google.com/file/d/1L4FZJpxEftz6eSoIebZW3KplNrKNUSHA/view,https://istina.cemi-ras.ru/collections/330989279/,to_find,,Ирина Кочеткова,,,,,
118,"Тестелец, Яков Георгиевич",testelets-y,2014,Структура именных конструкций и проблема чередования падежей в адыгских языках.,Плунгян В.А. и др. (ред.). Язык. Константы. Переменные. Памяти Александра Евгеньевича Кибрика. СПб.: Алетейя. 2014,536–551,Статья,"адыгейский, кабардинский",морфосинтаксис,to_find,https://www.elibrary.ru/item.asp?id=21464875&pff=1,to_find,,Ирина Кочеткова,,,,,
119,"Тестелец, Яков Георгиевич",testelets-y,2007,Экспедиция в Адыгею,"Бак Д.П.(ред.), Полевые исследования студентов РГГУ. Этнология. Фольклористика. Лингвистика. Религиоведение. Вып. II. М.: РГГУ. 2007",275–276,Статья,адыгейский,экстралингвистическое,to_find,https://www.elibrary.ru/item.asp?id=20800776&pff=1,to_find,,Ирина Кочеткова,,,,,
120,"Тестелец, Яков Георгиевич",testelets-y,2004,О трех моделях морфологической структуры,Ин-т лингвистических исследований РАН. Первая Конференция по типологии и грамматики для молодых исследователей. Тезисы докладов СПб. 24–25 сентября 2004,115–122,Тезисы,,морфосинтаксис,to_find,to_find,to_find,,Ирина Кочеткова,,,,,
121,"Testelets, Yakov and Arkadiev, Peter","testelets-y, arkadiev-p",2019,Differential nominal marking in Circassian,Studies in Language 43-3 (2019),715–751,Статья,адыгейский,морфосинтаксис,https://www.academia.edu/39228078/DIFFERENTIAL_NOMINAL_MARKING_IN_CIRCASSIAN,https://doi.org/10.1075/sl.18063.ark,10.1075/sl.18063.ark,,Ирина Кочеткова,,,,,
122,"Arkadiev, Peter",arkadiev-p,2020,"Actionality, aspect, tense and counterfactuality in Kuban Kabardian",Studia Orientalia Electronica 8-3 (2020),5–21,Статья,кабардинский,морфосинтаксис,https://www.researchgate.net/publication/344330616_Actionality_Aspect_Tense_and_Counterfactuality_in_Kuban_Kabardian,http://dx.doi.org/10.23993/store.69767,10.23993/store.69767,,Ирина Кочеткова,,,,,
123,"Arkadiev, Peter",arkadiev-p,2020,Non-canonical inverse in Circassian languages,Sprachtypologie und Universalienforschung 73-1 (2020),81–111,Статья,"кабардинский, адыгейский, убыхский, абхазский, абазинский",морфосинтаксис,https://www.academia.edu/37779136/NON_CANONICAL_INVERSE_IN_CIRCASSIAN_LANGUAGES,https://doi.org/10.1515/stuf-2019-0028,10.1515/stuf-2019-0028,,Ирина Кочеткова,,,,,
124,"Arkadiev, Peter",arkadiev-p,2020,Syntax in morphological guise: Interrogative verbal morphology in Abaza,Linguistic Typology 24-2 (2020),211–251,Статья,абазинский,морфосинтаксис,https://www.researchgate.net/publication/343918122_Syntax_in_morphological_guise_Interrogative_verbal_morphology_in_Abaza,https://doi.org/10.1515/lingty-2020-5004,10.1515/lingty-2020-5004,,Ирина Кочеткова,,,,,
125,"Arkadiev, Peter",arkadiev-p,2021,Borrowing non-canonical inverse between Kabardian and Abaza,"Word Structure 14-2 (2021), special issue “Morphology in Contact”, ed. by Francesco Gardani & Franz Rainer",148–173,Статья,"абазинский, кабардинский",морфосинтаксис,https://www.researchgate.net/publication/344330622_Borrowing_non-canonical_inverse_between_Kabardian_and_Abaza,https://doi.org/10.3366/word.2021.0185,10.3366/word.2021.0185,,Ирина Кочеткова,,,,,
